id,osm_id,class,name,points,sqm
4d517acb-dca4-4945-ba2e-53c1584b58f1,r304938,land,ایران,66467,156.1145023580579
514e258e-2c78-41f9-98e5-6bf6f377ad6d,r192789,land,السودان,13745,154.77514079962575
0398fc18-5427-4ed8-82fb-d24e2a113150,r304751,land,Indonesia,62703,153.8395573796199
73d12de6-767c-46c6-b631-0cc19a1563c4,r7939736,land,Unorganized Borough,22375,152.61713250759408
79cd61f4-07e7-4e19-87fd-fa081eae6bfb,r2316595,land,Queensland,20438,152.24258794492445
602d6529-e4e7-44ab-9c2b-fe563609c69d,r192758,land,ليبيا,3174,146.94720677725215
9f6730d0-316b-4244-969e-e9592c073ac8,r151231,land,Чукотский автономный округ,12794,145.06610631349497
0e3807e4-7219-49d5-b6d3-763b79ae1594,r1164668,land,Эвенкийский район,36255,143.627752103616
19dad181-c3ba-439f-8927-98974ed2b323,r191706,land,Ямало-Ненецкий автономный округ,29954,141.39167967634666
8fb37b31-ef3a-450e-915b-a87f1496cd75,r140337,maritime,Архангельская область,5004,139.43225718310327
4e2c9e99-823f-44cf-93a0-569e6f05cfe1,r390867,maritime,British Columbia,20935,137.82109483064565
4681605d-64c4-452a-8a6c-4b7859abcfab,r68841,land,Ontario,26248,135.70679716228645
310c9958-0410-4f26-8b15-c8e015544601,r8515166,maritime,Sermersooq,1110,133.33752567608036
37c320fc-628b-4a44-a228-c25a78bf87a3,r390867,land,British Columbia,34016,132.42698769004616
6226374e-a8d8-4d82-88ac-36ceba98bf25,r332476,land,Amazonas,36434,127.0922198401614
4f8cc7da-9cde-4589-adc9-860be05c786e,r161349,land,内蒙古自治区 ᠦᠪᠦᠷ ᠮᠣᠩᠭᠤᠯ ᠤᠨ ᠥᠪᠡᠷᠲᠡᠭᠡᠨ ᠵᠠᠰᠠᠬᠣ ᠣᠷᠣᠨ,28756,126.66137389091615
8cc59e70-f7bf-44b7-ab24-1b5bab957883,r7008176,land,городское поселение Диксон,1400,125.26610308444315
294827a5-be05-4217-9bc9-d5c92e68729b,r2316594,maritime,Northern Territory,5003,122.20284394328982
03bfafdc-e2d0-4f61-bf2a-20eb77edb762,r151223,maritime,Хабаровский край,41993,121.08046669629765
c0843881-ca2b-4db6-9604-f80be6c63a30,r87565,maritime,South Africa,62922,120.08442452951793
8d910e5a-396d-4720-a448-96b030c479d3,r2316594,land,Northern Territory,7249,116.15867260250307
a7b8a868-dfe8-414c-8a6c-f484241475ac,r145454,land,Иркутская область,54492,114.95508143927944
01fa1777-d28a-4a3d-8a88-b13091f58c9a,r8515166,land,Sermersooq,15244,114.07478668183175
6aee6809-8b4b-453b-9c85-efcb51bffdfb,r153292,land,西藏自治区 བོད་རང་སྐྱོང་ལྗོངས།,33270,113.25307075882372
12f9f61f-2d6c-4570-b69b-05b077a4b517,r87565,land,South Africa,62659,113.13641564719087
d025ef34-d37f-4cf8-a9af-e0994b9db99d,r151223,land,Хабаровский край,42708,110.11224743987489
533424d8-bc73-47e3-9e11-e10f1c9fce0d,r167454,maritime,Chile,170599,109.69683872660876
a5d3d171-9e16-4729-88e4-7e7b93eef92e,r2361304,land,Tchad تشاد,15479,107.39604037341849
1a85874a-f569-44a6-b249-36b3c823e4c2,r195267,maritime,Angola,47989,106.75681697590652
3ee017ee-ae6c-45ff-ae72-84758cec508f,r192785,land,Mali,30744,106.66289680127532
27672605-1e7c-4d89-97c5-73bd590a0427,r288247,land,Perú,43374,106.60604478100227
212dabde-24c4-4538-9322-69b7391bafba,r185579,maritime,Pará,9378,104.33990885374475
70ba7275-41ef-48e8-b682-8964739ab21f,r195267,land,Angola,47807,103.82795454046112
60e3e375-d8a8-412b-948a-c7211ad0edee,r185579,land,Pará,12249,101.73501084180745
da979c6e-aaf9-46f9-918b-ec83c6440dcf,r120027,maritime,Colombia,58568,100.59690206314689
0670cda0-d419-4b9d-9964-a22232bdf736,r192786,land,Niger,18059,100.53378838306492
77cdc69a-50b4-4b55-b688-10db623b52e8,r2316596,maritime,South Australia,5538,98.12779111775964
2e381128-0f69-4b53-bcb3-f852f62e8134,r307866,maritime,Papua Niugini,3123,97.91294100721386
519212fc-f610-4903-baae-b0007dd54b2c,r1473947,maritime,مصر,1440,97.12299665194047
cd7a3b53-2468-4b88-9b53-83970415bfb4,r7008172,land,сельское поселение Хатанга,11110,96.11433172687005
3ce2d8b2-56e9-4ecd-97c5-d19152708813,r151233,maritime,Камчатский край,8773,95.03646692142179
6c801e2d-e6f8-4605-ac8b-11d9b288a1a6,r391186,land,Alberta,17959,93.59843537498394
d4480809-5885-4662-91bc-fe9f210517da,r120027,land,Colombia,56548,92.84906822802127
756ddb2a-8eb5-4f5b-9aed-7c5fead629c1,r192800,land,ኢትዮጵያ,22594,92.6762108161692
d92576ea-ec02-4b08-b0d2-6dccc39158da,r52822,maritime,Sverige,14598,92.38268515905628
00b849af-1e59-4902-b2b7-d7f699d5154e,r2316596,land,South Australia,2900,92.23192002846352
e74bf009-be31-42ce-b002-299db7bfd306,r252645,land,Bolivia,44671,91.93984346726941
37164e61-e32e-4332-b0b2-04e1a22b97b0,r192763,maritime,Mauritanie موريتانيا,10129,91.61404615759362
e794499f-f0ac-4366-ac8a-05915bbecd75,r140296,land,Ханты-Мансийский автономный округ — Югра,18746,91.21578420533129
3968a810-12fa-4e24-b242-d43e488182cc,r390841,land,Manitoba,17603,91.19682205112608
380a2e89-b6eb-4529-acc9-cdd7be2a7b06,r1473947,land,مصر,2560,90.66637615414582
b4161d47-493d-4631-8111-c64edca767dd,r391178,land,Saskatchewan,1484,90.42236986254768
47554412-7f27-4da4-8889-62a90cfa7e94,r192763,land,Mauritanie موريتانيا,9651,89.8909489391189
372d005f-9bd1-4f20-8817-82b67e1dcc9d,r1059668,maritime,Norge,19119,89.73051624912566
799b0059-d511-4f16-815b-e1f0841e0028,r391455,maritime,Yukon,21082,89.20160738274681
2de03ee4-e94d-4668-89a5-1c00aba2fa93,r174737,maritime,Türkiye,73105,89.1993638155888
38938a9d-37c8-4560-bcfc-c0ebc8dad066,r151228,maritime,Магаданская область,16504,88.98428763224243
b99b468e-e1a7-46a2-baba-ce812358da60,r8309397,land,Inuvialuit Settlement Region,17732,88.1028063628482
8a48b443-edaa-4af5-b538-74260737dc9e,r391455,land,Yukon,21105,87.58248237944318
3d231f71-b836-4eff-ba61-6415b9241285,r140337,land,Архангельская область,11671,86.39487399647217
92ed3c5c-0d73-48df-9d4e-cfa5af522c96,r307573,maritime,پاکستان,78831,84.53350108181272
d1ad007e-7c63-461d-8e78-4f58c38a9254,r272644,maritime,Venezuela,78104,82.37254504208238
e365df79-a684-45a0-aa84-f86107a4e091,r174737,land,Türkiye,65011,81.23276981714841
a50b57fa-c20e-47eb-a7d8-1ec97ba74fb3,r307573,land,پاکستان,78889,81.17080932765832
70bc19df-0ff9-406c-9e68-82d1500173c1,r151228,land,Магаданская область,17354,81.08298742884436
e8d25ed2-65f5-4429-aa5b-a490281d07ec,r195270,maritime,Tanzania,52137,80.48665623580351
925b60da-2d9b-4ab8-815f-67432450d60e,r52822,land,Sverige,34213,79.15266308317395
7539c54a-ef3f-464a-be3b-e8196f5dedd7,r167454,land,Chile,207770,78.72106432736459
9cc404dc-dcc6-4c74-ac07-66cfe8d24a4d,r60199,maritime,Україна,80357,78.40639538278771
e394f75f-66ba-491e-bdbc-1de5d6eb34a2,r8118157,maritime,ᑲᑎᕕᒃ Kativik,121258,77.57291044146969
b59281c7-76a3-494a-b0cc-7a55cb910767,r2316593,maritime,New South Wales,78888,77.51545232816073
119234c2-98bc-4243-9e1b-8c2915275bf5,r195270,land,Tanzania,53103,76.94505820257135
20d1c981-d385-47ef-8c6b-ed946cae25b6,r8118157,land,ᑲᑎᕕᒃ Kativik,72872,76.90477414604267
0085aa2d-22cb-47c2-b787-d0664a05eb77,r115136,land,Республика Коми,17294,76.84058057685542
71a37279-9205-43e5-aeee-dc3a66954eda,r2316593,land,New South Wales,74790,76.66145589418852
f829e829-59aa-445e-bafe-e66e60c40ad2,r382313,maritime,日本,7625,76.52675568960251
33ccad44-9d4e-4295-ba65-1e0654dee5ee,r192787,maritime,Nigeria,39683,76.4618064330561
a06ddcb3-1476-4fa8-a5ec-f191ffb5bbff,r391196,maritime,Newfoundland and Labrador,24165,76.21391827758275
8a696fca-a7fc-4f2c-9a32-e3908e20da68,r333597,land,Mato Grosso,30400,75.30845968441297
52d65483-c9a4-4d0f-ae66-e6fdc1753844,r195266,maritime,Namibia,38647,75.15844711498917
e7317e99-1f37-4662-9936-d3490da0905b,r192787,land,Nigeria,39551,75.04284817359674
b0bc3c26-d551-4b62-80e5-211798d2a3bd,r272644,land,Venezuela,76107,74.79960113438551
865a71e0-0895-4739-9072-d2b4c70e7d1f,r60199,land,Україна,80991,73.67147857977793
51bc7545-7602-435d-8b11-90117246a387,r2202162,maritime,France,70543,73.13547773834853
8362e514-166e-4bab-969b-c29f366518fa,r195273,maritime,Moçambique,30692,72.96159007879854
a44f2532-8e88-4bd4-888a-58855e099f66,r151233,land,Камчатский край,9313,72.54422933459286
ec7a379b-3495-40c8-9827-a83305b3dba2,r195266,land,Namibia,38484,72.23578247241218
6c3be916-7c8c-47f8-84f2-e3173d04ad15,r50371,maritime,မြန်မာ,54539,70.90520369463604
b66eb7ce-138a-4967-85a6-86c886c5c1ef,r189388,land,Оленёкский улус,68890,70.6415340304779
c25a1ddd-26db-4f30-ab91-16365e132009,r54224,maritime,Suomi / Finland,19105,69.95956766309413
